grad_inc_mean/t=0,grad_inc_mean/t=1,grad_inc_mean/t=2,grad_inc_mean/t=3,grad_inc_mean/t=4,grad_inc_mean/t=5,grad_inc_mean/t=6,grad_inc_mean/t=7,grad_inc_mean/t=8,grad_inc_mean/t=9,grad_inc_mean/t=10,grad_inc_mean/t=11,grad_inc_mean/t=12,grad_inc_mean/t=13,grad_inc_mean/t=14,grad_inc_mean/t=15,grad_inc_mean/t=16,grad_inc_mean/t=17,grad_inc_mean/t=18,grad_inc_mean/t=19,grad_inc_mean/t=20,grad_inc_mean/t=21,grad_inc_mean/t=22,grad_inc_mean/t=23,grad_inc_mean/t=24,grad_inc_mean/t=25,grad_inc_mean/t=26,grad_inc_mean/t=27,grad_inc_mean/t=28,grad_inc_mean/t=29,grad_inc_mean/t=30,grad_inc_mean/t=31,grad_inc_mean/t=32,grad_inc_mean/t=33,grad_inc_mean/t=34,grad_inc_mean/t=35,grad_inc_mean/t=36,grad_inc_mean/t=37,grad_inc_mean/t=38,grad_inc_mean/t=39,grad_inc_mean/t=40,grad_inc_mean/t=41,grad_inc_mean/t=42,grad_inc_mean/t=43,grad_inc_mean/t=44,grad_inc_mean/t=45,grad_inc_mean/t=46,grad_inc_mean/t=47
-7.512312095325559e-12,-3.153129943981221e-12,-3.119886728349131e-11,1.482847791397702e-11,-1.6601266042069992e-11,8.244114475243126e-13,1.0004520366819543e-11,-7.59995804624196e-12,-1.617277220534156e-11,2.8450209597858807e-12,-1.0634468603436747e-11,-9.495455859287678e-12,3.012205954056429e-12,-1.7433826607042868e-11,8.337286842505193e-13,4.5375130867053725e-12,-5.667229462934974e-12,-4.939795730427019e-12,2.258778210840689e-11,1.0503441996663186e-11,2.432158431165835e-11,-1.1470856154923353e-11,-8.375626828457272e-12,1.8239319378322977e-11,-8.016512804454793e-13,1.4839489549730542e-12,-4.3980729772916455e-12,9.969633554387195e-12,-1.1424440979622558e-11,-1.2678695996215064e-12,2.0600712537977684e-11,-3.2387742131905346e-12,-7.632317578893814e-12,1.8356462014613543e-11,2.1438750550071196e-11,3.933239615642552e-12,-3.560246197293015e-12,7.57757921603259e-12,3.83142859006563e-12,5.059715703598251e-12,-1.2398482980407467e-11,-3.820684893837633e-11,2.3716860113915233e-11,1.7532381133654445e-11,1.633211094974606e-11,-9.735445332095754e-13,-3.2422101372157114e-11,-1.2104234918215665e-11
-2.953635120431447e-11,3.7749476284936975e-12,-1.2070460781491636e-11,1.2287820945725937e-12,2.7833679494713453e-11,-1.3577400783190847e-11,-1.4519244122062594e-11,-1.4054299952671362e-11,-2.2486618822732388e-11,-3.666728039345201e-11,8.775374582395032e-12,2.7945728178059403e-11,1.1434358819314832e-12,-1.5668514384017563e-11,-4.880987200364872e-12,-5.592961640576129e-12,1.6149987015638117e-11,1.2121423331384737e-11,-1.551814612839489e-11,-2.91545817285979e-11,-8.927087558745581e-12,-8.805779432697167e-12,-1.9862025613081576e-12,9.196907948944525e-12,-4.160298269521999e-12,-2.3309448264284008e-11,2.181011841961947e-11,-6.875219584918472e-12,4.148144193266122e-12,-2.341135770831711e-11,6.275834966974342e-12,-6.634984391638365e-12,3.954753984183711e-14,-5.010324268053059e-12,-1.3507960985482451e-11,7.805786111077393e-12,-3.9025853258801965e-12,1.2192079046990917e-11,2.0684203129260816e-11,-2.216916880567547e-11,2.494459433431311e-12,6.583917128724637e-12,4.8658654365279826e-11,-3.415897009625786e-11,-1.3498325708306368e-11,-4.118842961709543e-11,-4.664719579256122e-12,-2.1255065401855364e-11
5.311573626980221e-12,-4.4607051285689707e-11,1.4311394376654821e-11,4.8846517500192094e-11,-1.9253415604424882e-11,-2.7238346657825137e-11,3.148169608264623e-11,-6.128451914816778e-11,-8.736835688217802e-11,-1.5851356444523383e-12,1.0862274668870494e-11,3.216714463550241e-11,1.031994170898805e-11,-3.404237285344422e-11,7.473066367998499e-12,1.1353044491846572e-11,-6.235474726438353e-12,4.256093844870511e-11,6.103753913793574e-12,1.9440528392211982e-11,1.0268190927100411e-11,-4.1671211154943166e-11,2.3895136979705324e-11,-2.860394665205354e-11,-2.849035991553612e-11,6.8871029165366584e-12,-3.571565305611222e-12,9.233751191021504e-12,3.3235807112262946e-11,-2.479221936746595e-11,-8.114657504525725e-12,1.76653908107584e-11,5.368145088710646e-12,1.5239395517907903e-12,-1.1605049298500995e-11,3.903817830504554e-12,3.911791260330752e-12,-1.7565792394756118e-12,-6.568734217455632e-13,-1.0655756150877305e-11,-1.846468556604886e-11,5.9648472407351e-12,-1.9043060061884838e-11,-3.6870330119236e-12,1.0030439978817147e-11,-2.979479664627482e-11,-2.312256259982314e-11,-3.725060253372645e-11
-1.8208973281628457e-11,-2.4733452930132032e-11,1.2440497088224887e-11,7.58319231435456e-12,9.49510650846585e-12,-6.176512612838402e-11,-1.3093855457941578e-11,3.702308291769914e-11,3.1634774235530213e-11,-2.814588202973528e-11,-3.2599209946406295e-11,-2.140658709847654e-12,-1.185792315050162e-11,-1.3462720522360522e-11,1.448583229450971e-11,-3.4226656270201866e-12,-3.0832273164513414e-11,5.445641111446851e-11,2.8102929633207855e-12,3.695272932797227e-11,1.7097753982975127e-11,-3.471475737756148e-11,2.1661656095477712e-11,-4.058226757230939e-12,1.828521046474788e-11,3.7497082948524127e-11,-1.1522806769585996e-11,-1.144030143507517e-12,-3.536141988267736e-12,8.737010451308773e-12,-1.1968559114149913e-11,9.198306652683637e-12,2.575804395713114e-12,-1.7041404706016782e-11,3.831215061504326e-11,3.1039384196661565e-12,1.3063778011027517e-11,-2.315283292125256e-11,-3.907143825346429e-11,2.609777844073182e-11,-6.282084214871097e-11,-1.779072280895134e-11,1.7427807046149016e-11,9.47478679685014e-11,1.7697379803102093e-11,-2.4969588337494198e-11,5.830800037680465e-11,8.071755973492489e-11
-1.258294955879512e-11,5.2371744536874514e-11,-3.660058607806202e-11,6.593184644190063e-11,2.0574871846912687e-13,-8.270471030692315e-12,-1.7881913359666744e-11,4.6035879779058556e-11,-4.173357764401707e-11,7.969561277990597e-11,-1.1461982626543113e-11,3.8571951640960844e-11,1.2220857184977365e-10,3.034970794928763e-11,-4.341677057129725e-11,-2.6136042510749974e-11,4.009569549382056e-11,-8.506473642736634e-12,-1.0387098145422291e-11,-6.8438736790909e-11,1.8573144931073424e-11,-2.3840467733659902e-11,-8.556425021583196e-12,8.451266561513612e-12,-3.320085502270915e-11,1.987441689772382e-11,-4.1228417141818675e-11,-3.5308548911269164e-11,7.832682870796288e-12,-3.998152255296875e-11,-1.5568983091170618e-11,2.6788664396712312e-11,-6.498801168218144e-12,3.5931183999254624e-11,-2.7430246262180416e-11,-4.3303522713822934e-11,-2.13745901445776e-11,-3.989121562259005e-11,-2.4301472877482638e-11,5.31592118109495e-11,1.8898616878857894e-11,4.291408900686497e-12,-7.418096289746454e-11,8.431223616346926e-11,1.2153685851433584e-11,-1.6950021913744614e-11,1.4796480957119708e-11,1.428153291169354e-10
-1.8937445982869597e-11,-5.892601460058864e-12,-3.248220280297353e-11,1.750193704723471e-11,-1.545150559243541e-11,-2.1433901824294786e-13,1.3035767981858547e-11,-1.085877186858436e-11,-1.766858432304269e-11,1.6819748344920572e-12,-1.2315293055443648e-11,-9.788297790081793e-12,2.224218334289414e-12,-1.829972507206488e-11,8.463482745002304e-13,3.5536375041193368e-12,-5.556674748115506e-12,-5.4514191958690945e-12,2.22636420965867e-11,9.997808567646447e-12,2.363668520037128e-11,-1.1878786690321275e-11,-8.995471331576484e-12,1.7914015807585076e-11,-5.087711055615783e-13,8.527255594861332e-13,-4.3624332615972296e-12,1.0028424175307436e-11,-1.1484192876220946e-11,-1.2022902940094906e-12,2.0395667109398353e-11,-3.6272641381388173e-12,-7.78317203057821e-12,1.820848432684534e-11,2.1321095725811327e-11,3.0033788876229618e-12,-3.774326406009888e-12,7.6008779696342e-12,3.799325752349198e-12,5.102013922378626e-12,-1.3079727469265798e-11,-3.873562334558487e-11,2.3426195598599497e-11,1.693350415688609e-11,1.5556918039108657e-11,-2.2840449771689924e-12,-3.4037863942690524e-11,-1.6527424014327827e-11
-2.1334233159680377e-11,8.986778020926525e-13,-9.999187681401546e-12,8.383921015488063e-12,2.8482491596423774e-11,-1.720980144146357e-11,-1.3926971880742543e-11,-1.5196340983997956e-11,-2.2133514007849354e-11,-3.353282794728017e-11,7.040007512355533e-12,2.7059647692168184e-11,-7.493883681022622e-13,-1.7191098538997357e-11,-6.29661611328026e-12,-7.005730942397049e-12,1.5535715219962777e-11,1.1177794654349163e-11,-1.304181462797788e-11,-3.043814777302665e-11,-1.0230882273919365e-11,-9.737889210971625e-12,-3.0378803859960966e-12,8.170136486241696e-12,-4.8467418592181786e-12,-2.5110096862647586e-11,2.212351939585547e-11,-8.222839666189283e-12,3.428421674707385e-12,-2.3349331459994674e-11,5.938121098695627e-12,-7.322994986566951e-12,-8.475540147620261e-13,-5.794005729705137e-12,-1.4333514788975507e-11,6.9382183427474086e-12,-4.794555128331256e-12,1.1172289650472876e-11,1.997153535645063e-11,-2.3128572542093107e-11,1.2701320915677977e-12,5.540087308800704e-12,4.7098469094455676e-11,-3.583914770648639e-11,-1.5590559894231964e-11,-4.4252971246600065e-11,-1.075300476992892e-11,-3.747308387544108e-11
-2.265172226588043e-11,-4.297442212609575e-11,-3.9739028052372555e-12,3.2870667893919873e-11,-4.219706640678265e-12,-2.1418057715492416e-11,3.241948251551033e-11,-4.90722823898808e-11,-8.344106721634519e-11,-1.164226350148964e-13,1.1062274104249076e-11,2.235188489495093e-11,1.2975015709777123e-11,-3.091789930266197e-11,8.040831758361312e-12,8.017267729722232e-12,-8.42730724812507e-12,4.213346602810649e-11,3.973959041901138e-12,2.0190017514372438e-11,8.560604762205004e-12,-4.3049368254712485e-11,2.02284092154823e-11,-2.909514960008963e-11,-2.953109299071471e-11,6.58892021872032e-12,-3.7529173275877584e-12,7.169153900134828e-12,3.367468187635286e-11,-2.5072156447166282e-11,-8.447152675882186e-12,1.7473963572320064e-11,5.230231931589333e-12,1.6967806760049073e-12,-1.146666691374556e-11,2.710373066603694e-12,3.922065824896513e-12,-1.6387542918245383e-12,-2.893475106669989e-13,-1.011803300080371e-11,-1.7980670667133786e-11,5.876432617021677e-12,-1.9735694883305612e-11,-3.5415094277819982e-12,9.666194885844046e-12,-2.944367837858281e-11,-2.2259582284624106e-11,-3.5731124240933244e-11
-1.1111932549908875e-11,-1.6514876175970794e-11,9.430653616738781e-12,3.597461458986661e-12,4.2615434441990294e-13,-6.065305971105657e-11,-1.0585188470038816e-11,3.5967422370477353e-11,3.396468074175989e-11,-2.3982341790074956e-11,-3.12033729137463e-11,3.6112079224184185e-12,-1.3631736286378048e-11,-1.270261883198555e-11,1.8996241849960753e-11,-1.6925916059261734e-12,-2.955935577390897e-11,5.3210109674232204e-11,4.1267384356038364e-12,3.750185418383904e-11,1.8362069712422406e-11,-3.255270538051849e-11,2.224948510264592e-11,-2.8095395631766013e-12,2.0086318503945522e-11,3.574282255122385e-11,-1.1570026337082262e-11,-8.26844199737707e-13,-2.47532030608361e-12,9.023217077192188e-12,-1.1042610269758803e-11,9.85806462570047e-12,3.645928255625706e-12,-1.65699344596557e-11,3.859213193196666e-11,2.4877404257694507e-12,1.32941008201916e-11,-2.2342675465600948e-11,-3.8174805036463864e-11,2.6896765942407556e-11,-6.139870483725168e-11,-1.586755141325126e-11,1.9449011079440532e-11,9.80799440107982e-11,1.9734642687362177e-11,-2.0889500274382156e-11,6.615978703882892e-11,1.0447560961193473e-10
-2.6103590402745074e-11,7.860310519797272e-11,-5.242268585270877e-11,3.30660070097376e-11,1.014847558343344e-11,-9.747710498106346e-12,-2.3086371229664542e-11,4.865721160681402e-11,-4.367423931460615e-11,6.572065641360148e-11,-1.201413343933078e-11,3.206177392557594e-11,1.1859477513672476e-10,3.051821517424456e-11,-4.524747839591022e-11,-2.7589794957491075e-11,3.644450048706681e-11,-8.383322468103395e-12,-9.930158927670485e-12,-6.771873570832496e-11,2.0055166829629976e-11,-2.4267428997487167e-11,-9.530574546602023e-12,7.245046233493701e-12,-3.306100605978423e-11,1.9910625787775025e-11,-4.467187285996895e-11,-3.6460468620407594e-11,7.035540233837379e-12,-3.9184530498155984e-11,-1.5106283051039335e-11,2.4381801349746083e-11,-6.5456765990417804e-12,3.4768672537899295e-11,-2.59363721515591e-11,-4.287945883667115e-11,-2.2181353393855264e-11,-4.0313322508277845e-11,-2.451176630027173e-11,5.339633504616492e-11,1.8798849254711603e-11,4.142235807565698e-12,-7.392283304507054e-11,8.398241889207832e-11,1.1886480362305615e-11,-1.7388418641769195e-11,1.4018408451886719e-11,1.3890098811957654e-10
