timestep,image_idx,sample_idx,reward,ir_person,sex_score,sex_score_binary,aesthetics_score
,0,,0.3104180081813148,0.7545009531103868,0.12518109789158838,0.7031180862932856,0.6395529226085982
,1,,0.5463841276725144,0.12669572350724856,0.7670621878149714,0.16336773934472515,0.7581343211738154
,2,,0.09787666920678717,0.8433456489827303,0.7655334528688037,0.7912145812447587,0.9389462611326524
0.0,0,0.0,0.006296673112407558,0.8021306732654541,0.5628538554610986,0.5879219460453908,0.5072653988207236
0.0,0,1.0,0.8306614903325925,0.18979520197151767,0.7544452794599533,0.5163353762219085,0.15677324233269818
0.0,0,2.0,0.4396609582613096,0.47985597344449216,0.7463419632361639,0.7845199096802733,0.40615737729874524
0.0,0,3.0,0.19495293802305302,0.12996573350791218,0.10417020348922856,0.9617059619586903,0.3708164673841139
0.0,1,0.0,0.20101938398037866,0.054054095416512404,0.6008802441868761,0.2034404455917067,0.7448129552236562
0.0,1,1.0,0.7586398921170571,0.4174726543790238,0.8980433169862047,0.8275463760938301,0.6919549597188244
0.0,1,2.0,0.6605921311752125,0.30211702047087496,0.755704615879682,0.7645964390746539,0.3151963246687197
0.0,1,3.0,0.3996378706175112,0.37025073861342894,0.4946075721213268,0.7430634349077779,0.09129593100181088
0.0,2,0.0,0.029123815761785243,0.6317625981111255,0.35384773271533954,0.08095690151698931,0.9608920748610286
0.0,2,1.0,0.19148004096145732,0.8135609664716666,0.7067225867030364,0.1631099773797392,0.48047321966411294
0.0,2,2.0,0.6351163532987315,0.5937045558162952,0.7885269217661364,0.8953888375749812,0.793691261487878
0.0,2,3.0,0.36943306519019226,0.7128518533813641,0.4760843459363664,0.7623432831142806,0.325357084977536
1.0,0,0.0,0.5953419682390079,0.8911051798770423,0.6244562539100543,0.05017140256988839,0.9054315238872203
1.0,0,1.0,0.5616856677070245,0.8226983002128947,0.3322334410307758,0.625792158391059,0.738371632892864
1.0,0,2.0,0.7623463020240913,0.38564180450750707,0.8982127526235378,0.03731530730093091,0.9068066310971095
1.0,0,3.0,0.6776194145199688,0.3939786884440829,0.9037211536768797,0.6249740293826377,0.9973360084860647
1.0,1,0.0,0.7384597195464679,0.5034855611844496,0.046108460514395766,0.6384703396029693,0.911121363458681
1.0,1,1.0,0.6963377720241023,0.5531790108522172,0.9495611761705404,0.4923306970292014,0.7394702293550534
1.0,1,2.0,0.36545370595338966,0.4616663886852974,0.967753255181793,0.2626860102092232,0.08611375160601997
1.0,1,3.0,0.9513281491103447,0.1427639367830824,0.5555132442018129,0.11783769482417117,0.0013287740022143169
1.0,2,0.0,0.829786454022591,0.767655223110529,0.3543560373925221,0.8248974566584025,0.5628586607610202
1.0,2,1.0,0.9576707640406527,0.026278172357686924,0.2306194007506044,0.9470557887646907,0.33125967915281895
1.0,2,2.0,0.00817639404144177,0.46224156348216006,0.7761179864782816,0.38492983232660294,0.17415380603978026
1.0,2,3.0,0.3941003911213209,0.6020259170240804,0.4305413470939381,0.3260624160529457,0.7748198002906707
2.0,0,0.0,0.4848124302928677,0.21046878359075127,0.34665735965617483,0.5390704696554773,0.038758339239643114
2.0,0,1.0,0.43737564185193567,0.42621496910960033,0.5528866043501868,0.7651592250950107,0.02816646914111176
2.0,0,2.0,0.017305964217777636,0.5191546288359375,0.7913516316211907,0.8846095764499754,0.9716516592072236
2.0,0,3.0,0.7975672075246557,0.3799223757797968,0.1866168126897465,0.2293560585043759,0.04922939187584918
2.0,1,0.0,0.11197140555522456,0.8805359016094311,0.07367954973244562,0.3002884507018191,0.3905009725622688
2.0,1,1.0,0.8398222840429656,0.9270481500472134,0.6853544016827597,0.8368478480045165,0.3499806997147459
2.0,1,2.0,0.5932659115273565,0.38192218511885534,0.8992603909392463,0.32368364561065666,0.20778898439075644
2.0,1,3.0,0.16175471078001946,0.3815793525739337,0.047558455601631966,0.8562541743932269,0.8381210389960742
2.0,2,0.0,0.13666242060060496,0.6305654679140291,0.2785236411338311,0.19709061967692387,0.4345424032306585
2.0,2,1.0,0.3587895887551631,0.4799534853308278,0.7691617017383918,0.4069506132691463,0.013121685288857265
2.0,2,2.0,0.6678612116609811,0.2293521905725997,0.7619977959391993,0.6477091970817356,0.10537955671770438
2.0,2,3.0,0.009858701342642995,0.7454579518065038,0.2450887822706126,0.6647861421392015,0.10148074140561236
