grad_inc_std/t=0,grad_inc_std/t=1,grad_inc_std/t=2,grad_inc_std/t=3,grad_inc_std/t=4,grad_inc_std/t=5,grad_inc_std/t=6,grad_inc_std/t=7,grad_inc_std/t=8,grad_inc_std/t=9,grad_inc_std/t=10,grad_inc_std/t=11,grad_inc_std/t=12,grad_inc_std/t=13,grad_inc_std/t=14,grad_inc_std/t=15,grad_inc_std/t=16,grad_inc_std/t=17,grad_inc_std/t=18,grad_inc_std/t=19,grad_inc_std/t=20,grad_inc_std/t=21,grad_inc_std/t=22,grad_inc_std/t=23,grad_inc_std/t=24,grad_inc_std/t=25,grad_inc_std/t=26,grad_inc_std/t=27,grad_inc_std/t=28,grad_inc_std/t=29,grad_inc_std/t=30,grad_inc_std/t=31,grad_inc_std/t=32,grad_inc_std/t=33,grad_inc_std/t=34,grad_inc_std/t=35,grad_inc_std/t=36,grad_inc_std/t=37,grad_inc_std/t=38,grad_inc_std/t=39,grad_inc_std/t=40,grad_inc_std/t=41,grad_inc_std/t=42,grad_inc_std/t=43,grad_inc_std/t=44,grad_inc_std/t=45,grad_inc_std/t=46,grad_inc_std/t=47
1.6893661916636507e-08,1.4748983584580675e-08,1.58797010786839e-08,1.1147913675017804e-08,1.3561317001167491e-08,1.034331440629783e-08,1.558198952369645e-08,1.1800616687278157e-08,1.0051386888854014e-08,1.141126341618172e-08,1.2738950945086586e-08,1.1034308568024307e-08,8.98681403850156e-09,1.2401914089193322e-08,7.818478887685226e-09,7.998290205971665e-09,1.1356075050998846e-08,9.036892816207452e-09,1.0806818020782197e-08,1.2645065342171957e-08,1.1980761808228793e-08,1.1846249827562359e-08,1.1045812424699722e-08,9.215380680276564e-09,7.9769264600941e-09,1.0336358613073504e-08,8.182615588791317e-09,8.156218878054297e-09,9.898737213542547e-09,7.4432138188395144e-09,1.1732371062601597e-08,8.006846954424162e-09,9.486677169613694e-09,1.0923797979152474e-08,1.0979436546548924e-08,8.521304548109504e-09,8.761555517115722e-09,8.939489319885988e-09,9.810414792680995e-09,1.2637765038423922e-08,1.3936690699112174e-08,1.7253956430417644e-08,1.2855878447689054e-08,1.609442698546756e-08,1.58052103088682e-08,1.993965828434414e-08,2.648626222264453e-08,3.921944760131831e-08
1.929628860547706e-08,1.59303983904209e-08,1.9426637971133233e-08,1.1094117763851262e-08,1.568462919464051e-08,1.3734735214285186e-08,1.3461976999756314e-08,1.358004299024708e-08,1.691824930116344e-08,2.0758549411170713e-08,1.77724131645286e-08,1.2896308791193085e-08,8.980864950179207e-09,1.128247656795617e-08,1.819451432967146e-08,1.3948882934791053e-08,1.071055401365779e-08,1.466421651157293e-08,1.6841743700176073e-08,1.6243931338367822e-08,9.279747213124218e-09,1.0425443288986098e-08,9.24315101499582e-09,1.0250816112332766e-08,9.023690890209667e-09,1.1606830087504126e-08,1.0269766217194084e-08,8.207840934732072e-09,9.913415753382039e-09,1.523839598766919e-08,1.3653888571707513e-08,1.0426305792708347e-08,8.834105954914923e-09,8.474653532964827e-09,1.1957534003289703e-08,1.0525078908575335e-08,1.1270768830543534e-08,1.1022166225963449e-08,1.337639540648829e-08,1.3718887272293209e-08,1.2061126420585414e-08,1.6809470697283514e-08,2.4029431851497497e-08,1.9945555056592173e-08,1.948069895946572e-08,2.9470116146034574e-08,3.084129364740557e-08,5.01142934819758e-08
1.8134045783152138e-08,2.5625628530581644e-08,2.1205756350172115e-08,2.7646815581869928e-08,2.129627427718661e-08,1.659765872170582e-08,1.8154421697273515e-08,2.748153159352401e-08,3.184751572423174e-08,1.4587592544126698e-08,1.8768887077379392e-08,1.8249755603380147e-08,1.3099976944757804e-08,1.7196914298400983e-08,1.1785415129802266e-08,1.4371567855863035e-08,1.4566882215873116e-08,1.9462128733857378e-08,1.2298428278470574e-08,2.1956796998444044e-08,1.674351307742154e-08,1.8742330820909527e-08,1.602903409723429e-08,1.977638207736051e-08,1.912987615738005e-08,1.1946774742129586e-08,1.114078958557647e-08,1.2411466935248074e-08,1.6242202944720558e-08,1.450198194207488e-08,1.2340996985785608e-08,1.5496952458172778e-08,1.3642384051053006e-08,1.2761850924833443e-08,1.265859307347439e-08,1.3009974530180737e-08,1.5749363826457476e-08,1.2748526642345622e-08,1.497451032132748e-08,2.1091785590883592e-08,1.9841885829029192e-08,1.843809119654578e-08,2.1149406503008415e-08,3.312907476590261e-08,2.6651565695997612e-08,3.3557894636372565e-08,4.087961169692356e-08,6.29162262656224e-08
2.353982961199682e-08,3.403734986083264e-08,2.4561534576493783e-08,2.4621493336402868e-08,2.0717187255855142e-08,3.3141962433668535e-08,1.9736408549012458e-08,2.3123946745198714e-08,4.258395673384331e-08,2.707402288340999e-08,2.7834763045586004e-08,1.9497446995385245e-08,2.2955077758136738e-08,1.840785890824575e-08,2.4440585879756993e-08,2.2218339714838225e-08,2.0931919949212817e-08,2.618790158530325e-08,1.6422622568081267e-08,2.250924264043088e-08,2.766659589969492e-08,1.957612462295365e-08,1.6620373376039803e-08,1.6780277373145622e-08,1.7149964891751575e-08,2.0632672668561962e-08,1.5284325486723125e-08,1.4870179545155536e-08,1.9035175563772296e-08,2.9044224264289755e-08,1.8023664964587917e-08,1.904453292679193e-08,1.775435977204924e-08,2.3709322774574736e-08,2.508544220238446e-08,2.8775432360922846e-08,2.3589654032336013e-08,2.3270934562409035e-08,2.8929570410186806e-08,2.6677596536859778e-08,2.919556719888417e-08,2.498918981458782e-08,3.346994265320676e-08,3.8775889308537724e-08,3.825248205824205e-08,4.740626791467483e-08,6.595324673892363e-08,9.003561888574155e-08
3.554999184431189e-08,3.0723342065466256e-08,3.319554344338698e-08,3.7971299304786736e-08,3.435255136831197e-08,2.607132512768651e-08,2.211487053255452e-08,2.8664447629827304e-08,2.6134785353818172e-08,3.864331544522856e-08,2.2333033626097058e-08,3.3261370183459417e-08,4.6836314752906945e-08,2.221222244195435e-08,3.335127767697891e-08,2.5313062045620264e-08,2.899795505994063e-08,3.2077928988436556e-08,2.0924801834470952e-08,2.8955688652824506e-08,3.0339889254503596e-08,1.980411262518685e-08,2.1338943558598242e-08,2.7311952992233292e-08,2.540902788813486e-08,3.0437836243273936e-08,2.1592892425660372e-08,2.8717503414164637e-08,2.2846723912588996e-08,3.51929480367966e-08,2.0641585467218262e-08,2.2498314746106098e-08,2.217142898433814e-08,2.5630465841550137e-08,2.9532784536346713e-08,2.6591886005679595e-08,2.938020638636276e-08,2.8272449810732047e-08,3.210485526822254e-08,2.8601007574466862e-08,3.319434100597979e-08,3.093050394179429e-08,3.558172489489127e-08,5.391793345063656e-08,4.463292572094224e-08,5.3487545698987966e-08,7.373867123631762e-08,1.0782698660552365e-07
1.7602256069874468e-08,1.3119288730818257e-08,1.5721715102040473e-08,1.1165201806836496e-08,1.4344207843987156e-08,9.878128473765559e-09,1.5150218514816736e-08,1.2294041740221273e-08,1.0330607073565373e-08,1.1486581541875012e-08,1.3187419517567944e-08,1.1253106985992753e-08,8.932033506260627e-09,1.2551530686253775e-08,7.763806495425869e-09,8.072629546467688e-09,1.1378317831610657e-08,9.009354277387988e-09,1.0773143871515201e-08,1.2649354096556556e-08,1.1848971954617555e-08,1.1990911673303071e-08,1.105202830448745e-08,9.15476431039768e-09,7.894033202562156e-09,1.0581535039106221e-08,8.240625347784838e-09,8.130888287530123e-09,9.816798045110002e-09,7.458730157973182e-09,1.1648201001550053e-08,8.01021643309225e-09,9.51164347100133e-09,1.0848940152042276e-08,1.0914193123255961e-08,8.501641109143643e-09,8.759439500466092e-09,8.914484536013148e-09,9.906188517542575e-09,1.2641442019945043e-08,1.4057429486177257e-08,1.7334037462479857e-08,1.2873096927198572e-08,1.603217715278718e-08,1.584761182663745e-08,1.9814842511493635e-08,2.6624255121237992e-08,3.972434893846987e-08
1.4991334150253764e-08,1.4577625505990634e-08,2.0884202533314504e-08,1.2172800349406682e-08,1.7119108580838117e-08,1.3616243983146884e-08,1.285289235942487e-08,1.450076711304896e-08,1.5166999782292514e-08,1.9216911137094126e-08,1.7966209047315063e-08,1.2808742220437048e-08,8.714374400641056e-09,1.1997575574968998e-08,1.907301146347178e-08,1.4758725906758989e-08,1.0729322366581546e-08,1.5265215138273345e-08,1.6696335248458957e-08,1.5897310422159583e-08,9.524361857053636e-09,1.0913425760270191e-08,9.079716583194056e-09,9.665596750264137e-09,9.459020108519142e-09,1.2119466301587122e-08,1.0353742612084512e-08,8.28933538522167e-09,1.0280169130740142e-08,1.6029756287864905e-08,1.3013491805795229e-08,1.0940664440543765e-08,8.756424595872914e-09,8.679361734679826e-09,1.2140830633681855e-08,1.0041717745227947e-08,1.1200726887301366e-08,1.0906478876351438e-08,1.3680248131638931e-08,1.4318013562430425e-08,1.2010367697979113e-08,1.781488811978719e-08,2.319261015061348e-08,2.1184519592168826e-08,1.9683560169537914e-08,2.990416522539019e-08,3.242909282076087e-08,4.8659685737966665e-08
2.167794503820545e-08,2.5494188588018623e-08,2.0465099069012853e-08,2.2358446715340077e-08,2.1544599759063348e-08,1.723139387463892e-08,1.8297179011368948e-08,2.3048419234932483e-08,3.029884956215773e-08,1.504383218181564e-08,1.8901016697337645e-08,1.7244576914863283e-08,1.340732085980475e-08,1.661227017471483e-08,1.2000815897418548e-08,1.396527787826691e-08,1.5148391330792462e-08,1.9432646199445418e-08,1.2157175681717097e-08,2.2237798472601218e-08,1.6599527130794528e-08,1.918295008826985e-08,1.5564505683905944e-08,1.9939322201805842e-08,1.9522818037082464e-08,1.2035993826596471e-08,1.1193245321294003e-08,1.2358367358880913e-08,1.631640968826939e-08,1.4522665680072805e-08,1.2412630382774716e-08,1.5472359093627524e-08,1.3569793659606023e-08,1.2782280370342394e-08,1.2675274397243772e-08,1.318825458259484e-08,1.583396929885173e-08,1.2779197983477398e-08,1.5004148169432226e-08,2.1109906530679775e-08,1.9830189522292976e-08,1.8428657148444323e-08,2.1138989423729034e-08,3.328121097470904e-08,2.6743324017192185e-08,3.3614090246920356e-08,4.090627724688171e-08,6.317874809578008e-08
2.4151394000029036e-08,3.207748473852486e-08,2.5789792800706718e-08,2.889411391802218e-08,2.172949664374005e-08,3.336632014722918e-08,1.9449525868323845e-08,2.1637628351787982e-08,4.2028904272718524e-08,2.5741184069092363e-08,2.9913210794727675e-08,1.9353393447289576e-08,2.0607789044172487e-08,1.8903972205244543e-08,2.3620126696579047e-08,2.294046910318153e-08,2.1597717008399395e-08,2.4552339973589674e-08,1.6725849454490373e-08,2.388439807501972e-08,2.8831028099848883e-08,1.9327246513610022e-08,1.698005652199955e-08,1.702747121435625e-08,1.798636773805132e-08,2.0031265139524188e-08,1.496291423455281e-08,1.4792686355293965e-08,1.908189183259464e-08,2.8422425694343424e-08,1.7802828310958764e-08,2.0034348270054602e-08,1.732377026180228e-08,2.2994247281251943e-08,2.5912934414647387e-08,2.7260142305894742e-08,2.2990852391970994e-08,2.411281170949789e-08,2.89809195506143e-08,2.6476464852657055e-08,2.9584214519651382e-08,2.45990768106424e-08,3.390810828565004e-08,3.82998081558675e-08,3.9685217062535834e-08,5.004645927722018e-08,6.475642699617275e-08,9.121264898446664e-08
3.3552061083570757e-08,3.7225152256368074e-08,3.527396779780414e-08,4.20977145042092e-08,3.8196319066222875e-08,2.4775284801672126e-08,2.3309051277906537e-08,2.8713474139834435e-08,2.6691949368956764e-08,3.996056519256144e-08,2.2602288339853228e-08,3.350121378582361e-08,4.5603282470868784e-08,2.2329510435840444e-08,3.347008635300938e-08,2.4975256237417412e-08,2.853191572594421e-08,3.166736326966031e-08,2.1494568625082164e-08,2.858272820880313e-08,3.12716859831019e-08,1.9752204598413636e-08,2.1205620110326157e-08,2.7366288845110795e-08,2.557414159658626e-08,3.0846543482401134e-08,2.20642643839722e-08,2.8669985671034655e-08,2.2687406366688044e-08,3.49213645509862e-08,2.0817197731468494e-08,2.2397292820732348e-08,2.2538018464412702e-08,2.5504459948806853e-08,3.020635707377906e-08,2.6697025555833057e-08,2.9376826341118548e-08,2.847551722653589e-08,3.2313849817641164e-08,2.8560946926416742e-08,3.28696327329612e-08,3.0656549213412664e-08,3.56801192350385e-08,5.4340764150887916e-08,4.419912085451523e-08,5.448552422475012e-08,7.465956546444052e-08,1.0502864978646243e-07
